code,country,lrgdpmad,madid,polity4,year,noextrapolation,code_numeric,year_numeric,sample
NLD,Netherlands,8.646253,1102,1,1925,1,122,4,1
NLD,Netherlands,8.698869,1102,1,1950,1,122,5,1
NLD,Netherlands,9.50104,1102,1,1975,1,122,6,1
NLD,Netherlands,9.980022,1102,1,2000,1,122,7,1
NOR,Norway,7.006807,1108,0.15,1850,1,123,1,1
NOR,Norway,7.267021,1108,0.3,1875,1,123,2,1
NOR,Norway,7.569012,1108,1,1900,1,123,3,1
NOR,Norway,8.152537,1108,1,1925,1,123,4,1
NOR,Norway,8.605788,1108,1,1950,1,123,5,1
NOR,Norway,9.40759,1108,1,1975,1,123,6,1
NOR,Norway,10.10088,1108,1,2000,1,123,7,1
SWE,Sweden,7.088787,1140,0.15,1850,1,152,1,1
SWE,Sweden,7.415506,1140,0.3,1875,1,152,2,1
SWE,Sweden,7.84814,1140,0.3,1900,1,152,3,1
SWE,Sweden,8.26073,1140,1,1925,1,152,4,1
SWE,Sweden,8.815701,1140,1,1950,1,152,5,1
SWE,Sweden,9.559824,1140,1,1975,1,152,6,1
SWE,Sweden,9.919415,1140,1,2000,1,152,7,1
USA,United States,7.136633,1157,0.95,1850,1,169,1,1
USA,United States,7.801645,1157,1,1875,1,169,2,1
USA,United States,8.316493,1157,1,1900,1,169,3,1
USA,United States,8.839091,1157,1,1925,1,169,4,1
USA,United States,9.165484,1157,1,1950,1,169,5,1
USA,United States,9.697916,1157,1,1975,1,169,6,1
USA,United States,10.24457,1157,1,2000,1,169,7,1
