code,country,age_midage,age_old,age_veryold,age_veryyoung,age_young,code_numeric,education,fhpolrigaug,laborshare,lpop,lrgdpch,medage,nsave,polity4,socialist,year,year_numeric,sample,worldincome,worlddemocracy,samplebalancefe,samplebalancegmm
IRL,Ireland,0.1739591,0.1658433,0.1580805,0.310868,0.1912491,85,6.455,0.95,0.511867,7.948739,8.544048,29.8,0.0795628,1,0,1960,33,1,23.48112,0.7580876,0,0
IRN,Iran,0.1568763,0.1039392,0.0649159,0.4381018,0.2361668,86,0.634,0.35,0.182427,9.978316,7.8892,18.4,0.2559941,0,0,1960,33,1,3.777636,0.1076632,0,0
IRQ,Iraq,0.1506209,0.0816654,0.0403214,0.4613587,0.2660336,87,0.214,0.15,0.3387705,8.831566,,16.8,,0.25,0,1960,33,1,,,,
ISL,Iceland,0.1875,0.1363636,0.1136364,0.3465909,0.2159091,88,5.631,1,,5.170484,9.014312,25.4,0.2752998,1,0,1960,33,1,12.82248,0.4045128,0,0
ISR,Israel,0.1825922,0.1579943,0.0804163,0.3604541,0.2185431,89,6.988,0.95,0.3746982,7.656337,8.620045,24.3,0.1989144,1,0,1960,33,1,11.9097,0.3699232,0,0
ITA,Italy,0.203036,0.1809634,0.1360413,0.2476792,0.2322802,90,4.56,0.97,,10.82377,8.837732,31.3,0.2831644,1,0,1960,33,1,8.525861,0.2272095,0,0
JOR,Jordan,0.1415831,0.0802676,0.0613155,0.4437012,0.2731327,92,1.396,0.32,0.2962255,6.738153,7.734221,17.6,-0.1991424,0.05,0,1960,33,1,20.12899,0.446233,0,0
JPN,Japan,0.1975429,0.1351492,0.0886329,0.3020957,0.2765792,93,6.871,0.99,0.3329867,11.45205,8.42168,25.5,0.3387145,1,0,1960,33,1,5.029243,0.1352796,0,0
KHM,Cambodia,0.166728,0.0938535,0.0454545,0.4249172,0.2690468,97,,0.39,,8.600246,,18.6,,0.05,0,1960,33,1,,,,
KOE,Korea,0.1644343,0.0984794,0.0550585,0.3999286,0.2820991,100,,,,10.50323,,,,,0,1960,33,1,,,,
KOR,"Korea, Rep.",0.1648936,0.0958247,0.0527916,0.4194129,0.2670773,101,3.231,0.52,0.2536042,10.12675,7.310043,19.2,0.0241506,0.9,0,1960,33,1,14.96493,0.4705176,0,0
LAO,Lao PDR,0.1736334,0.0955443,0.0408819,0.4203032,0.2696371,103,,0.57,,7.685703,,18.8,,0.45,0,1960,33,1,,,,
LBN,Lebanon,0.1609257,0.116254,0.0839612,0.4074273,0.2314316,104,,0.84,,7.584987,,20.8,,0.6,0,1960,33,1,,,,
LBR,Liberia,0.1625475,0.0941065,0.0475285,0.4391635,0.256654,105,0.562,0.47,,6.946014,,18.1,,0.2,0,1960,33,1,,,,
LBY,Libya,0.158636,0.0896961,0.0593032,0.4329133,0.2594514,106,,0.31,,7.207119,,18.4,,0.15,0,1960,33,1,,,,
LIE,Liechtenstein,,,,,,108,,,,,,,,,0,1960,33,1,,,,
LKA,Sri Lanka,0.1702062,0.0989691,0.0583505,0.4226804,0.2497938,109,3.426,0.94,,9.179984,7.195235,19,0.0999343,0.85,0,1960,33,1,14.51335,0.3807417,0,0
LUX,Luxembourg,0.2070064,0.2133758,0.1624204,0.2133758,0.2038217,112,,1,0.5275336,5.752255,9.367659,35.2,0.3062477,,0,1960,33,1,,,0,0
MEX,Mexico,0.1434835,0.0899716,0.0688862,0.4501015,0.2475572,118,2.405,0.8,,10.51719,8.289124,17.5,0.1383476,0.2,0,1960,33,1,6.239766,0.1978212,0,0
MMR,Myanmar,0.1812879,0.1132818,0.0595806,0.40762,0.2382297,122,0.975,0.63,,9.980449,,20,,0.9,0,1960,33,1,,,,
MNG,Mongolia,0.1623309,0.0926119,0.0520291,0.4287201,0.264308,123,,0.22,,6.865891,,18.4,,0.15,0,1960,33,1,,,,
