code,country,age_midage,age_old,age_veryold,age_veryyoung,age_young,code_numeric,education,fhpolrigaug,laborshare,lpop,lrgdpch,medage,nsave,polity4,socialist,year,year_numeric,sample,worldincome,worlddemocracy,samplebalancefe,samplebalancegmm
LBR,Liberia,0.1569767,0.0921927,0.0465116,0.448505,0.255814,105,0.626,0.46,,7.085901,,17.5,,0.2,0,1965,34,1,,,,
LBY,Libya,0.162762,0.0918619,0.054254,0.4346486,0.2564735,106,,0.34,,7.392032,,18.4,,0.15,0,1965,34,1,,,,
LIE,Liechtenstein,,,,,,108,,,,,,,,,0,1965,34,1,,,,
LKA,Sri Lanka,0.1659397,0.0994184,0.0582515,0.4173937,0.2589967,109,3.596,0.86,,9.306287,7.233606,19,0.1315936,0.85,0,1965,34,1,14.68642,0.3761024,0,0
LUX,Luxembourg,0.2125749,0.1856287,0.1766467,0.2245509,0.2005988,112,,0.98,0.4920567,5.808143,9.481506,35.3,0.2339927,,0,1965,34,1,,,0,0
MAR,Morocco,0.1571364,0.0861474,0.0528291,0.4590275,0.2448597,114,,0.32,0.4479953,9.497247,7.585205,17.2,0.1189008,0.05,0,1965,34,1,10.25615,0.2589529,0,0
MDG,Madagascar,0.1593326,0.0927531,0.0476035,0.4523147,0.2479961,116,,0.83,0.3470201,8.71588,7.029944,17.6,-0.0028828,0.45,0,1965,34,1,5.733016,0.1645412,0,0
MEX,Mexico,0.1448006,0.0810216,0.0657257,0.4600106,0.2484414,118,2.526,0.75,,10.67239,8.469162,17,0.1738189,0.2,0,1965,34,1,6.302207,0.1917253,0,0
MLI,Mali,0.1569534,0.0815916,0.0343649,0.454381,0.272709,120,0.171,0.37,0.3887381,8.474286,6.657802,17.1,0.02383,0.15,0,1965,34,1,7.323412,0.1921313,0,0
MMR,Myanmar,0.1680213,0.1130424,0.0622734,0.4092368,0.2474261,122,0.919,,,10.08552,,19.6,,0.15,0,1965,34,1,,,,
MNG,Mongolia,0.1601098,0.0914913,0.0494053,0.4336688,0.2653248,123,,0.16,,6.997596,,18.2,,0.15,0,1965,34,1,,,,
MRT,Mauritania,0.1682992,0.09439,0.0436331,0.4203027,0.2733749,126,,0.59,,6.999423,7.438795,18.8,0.2673532,0.15,0,1965,34,1,17.26328,0.4705698,0,0
MYS,Malaysia,0.1474582,0.0954636,0.0499947,0.4616356,0.2454478,129,2.675,0.8,0.294191,9.159258,7.823121,16.9,0.2403214,1,0,1965,34,1,25.03629,0.7754052,0,0
NER,Niger,0.1481891,0.0854299,0.0400885,0.4782969,0.2479956,131,0.175,0.16,,8.194781,7.466524,16.1,0.0343198,0.15,0,1965,34,1,8.550797,0.2515124,0,0
NGA,Nigeria,0.1591855,0.0921862,0.0503737,0.4467884,0.2514663,132,,0.49,,10.74704,6.969365,17.8,0.1026906,0.85,0,1965,34,1,9.033752,0.2643351,0,0
NIC,Nicaragua,0.1475954,0.0762852,0.0392482,0.4886678,0.2482034,133,2.278,0.55,0.1673518,7.500529,8.247722,15.6,0.178123,0.1,0,1965,34,1,11.95587,0.3385413,0,0
NLD,Netherlands,0.1866255,0.1559551,0.1386268,0.2826228,0.2361699,134,5.579,1,0.5099156,9.416948,9.300868,28.6,0.2666461,1,0,1965,34,1,20.86398,0.539128,0,0
NOR,Norway,0.1826484,0.189632,0.1710986,0.2476497,0.2089713,135,6.181,1,0.4907616,8.222285,9.190365,34.1,0.3145231,1,0,1965,34,1,12.89648,0.398877,0,0
NPL,Nepal,0.1707806,0.1062028,0.0579288,0.4014938,0.2635941,136,0.102,0.29,,9.286375,6.651843,19.9,0.0026213,0.05,0,1965,34,1,4.273631,0.1259017,0,0
NZL,New Zealand,0.1780822,0.151446,0.1183409,0.3261035,0.2260274,137,9.417,1,0.5853497,7.873979,9.511593,25.8,0.2675954,1,0,1965,34,1,11.10666,0.3556925,0,0
OMN,Oman,0.1321929,0.0855365,0.0482115,0.4758942,0.2581649,139,,,,6.447306,,16.2,,0,0,1965,34,1,,,,
PAK_1,Pakistan-pre-1972,0.1638809,0.1042003,0.0573848,0.431759,0.242775,141,0.928,0.63,0.2045081,11.61801,6.614855,,0.1297783,0.55,0,1965,34,1,7.478885,0.1979724,,
PAN,Panama,0.1496546,0.0974674,0.0652341,0.437452,0.2501919,142,4.153,0.77,0.3488826,7.172425,8.008891,18.1,0.2031018,0.7,0,1965,34,1,25.2188,0.8013048,0,0
PER,Peru,0.156637,0.0940171,0.0554683,0.4414791,0.2523984,144,3.105,0.87,0.2151691,9.347229,8.306534,18,0.3093472,0.75,0,1965,34,1,5.76399,0.1713366,0,0
PHL,Philippines,0.1442058,0.0894633,0.0469492,0.4623012,0.2570804,145,4.084,0.93,0.237647,10.3599,7.700883,16.9,0.208078,0.75,0,1965,34,1,10.48661,0.3093729,0,0
PRK,"Korea, Dem. Rep.",0.17246,0.1026247,0.057618,0.3470482,0.3202491,149,,0.21,,9.448412,,21.8,,0.1,0,1965,34,1,,,,
PRT,Portugal,0.1964445,0.1538889,0.1242222,0.2904444,0.235,150,2.24,0.39,0.3201314,9.119201,8.423364,28.2,0.2226322,0.05,0,1965,34,1,12.8284,0.3425253,0,0
PRY,Paraguay,0.1283037,0.0927439,0.0869774,0.4593945,0.2325805,151,3.296,0.45,,7.640604,7.851269,17.2,0.1428812,0.05,0,1965,34,1,6.104384,0.1586832,0,0
SAU,Saudi Arabia,0.1571041,0.0926351,0.0532026,0.4400167,0.2570415,157,,0.1,,8.474912,,18,,0,0,1965,34,1,,,,
SDN,Sudan,0.1600687,0.0892481,0.0457562,0.4363239,0.2686031,159,0.308,0.38,,9.454854,,18,,0.85,0,1965,34,1,,,,
SEN,Senegal,0.161059,0.0937672,0.0479868,0.4440154,0.2531715,160,1.371,,,8.195886,7.442279,17.9,0.0570571,0.15,0,1965,34,1,11.7289,0.3234123,,
SLV,El Salvador,0.1530036,0.085297,0.0434783,0.4659807,0.2522403,166,1.78,0.72,0.2704381,8.01036,8.268486,16.6,0.1275578,0.5,0,1965,34,1,10.7161,0.2989362,0,0
SOM,Somalia,0.1552756,0.0966929,0.0494488,0.4529134,0.2456693,167,,0.77,0.2595583,8.062433,,17.5,,0.85,0,1965,34,1,,,,
SWE,Sweden,0.1887768,0.2001552,0.1825705,0.2094647,0.2190328,172,7.656,1,0.5289748,8.953382,9.447625,36.2,0.2804076,1,0,1965,34,1,12.49192,0.3748064,0,0
SYR,Syrian Arab Republic,0.1473684,0.0821791,0.0511542,0.4751616,0.2441367,175,1.343,0.2,0.3316903,8.580168,7.606903,16.3,0.0958662,0.15,0,1965,34,1,6.396083,0.1533099,0,0
TCD,Chad,0.1728469,0.1091507,0.0595096,0.4093899,0.2491029,176,,0.48,,8.111928,7.094266,19.9,0.0671916,0.05,0,1965,34,1,3.909783,0.1076131,0,0
TGO,Togo,0.1571865,0.0929664,0.0507645,0.4458716,0.253211,177,0.38,0.45,,7.40062,7.017609,17.8,0.2331025,0.2,0,1965,34,1,17.2156,0.4864847,0,
THA,Thailand,0.1593246,0.0873034,0.0480569,0.455259,0.2500561,178,3.145,0.17,0.1744631,10.33009,7.206482,17.3,0.1856657,0.15,0,1965,34,1,11.68343,0.3464102,0,0
TUN,Tunisia,0.165407,0.101274,0.0559274,0.4631829,0.2142086,183,0.706,0.64,0.4569526,8.440312,7.683999,17.2,0.3255814,0.05,0,1965,34,1,14.62649,0.4027286,0,
TUR,Turkey,0.1747664,0.095509,0.0624746,0.4287902,0.2384599,184,2.052,0.76,0.2651511,10.3466,8.013696,18.8,0.1382952,0.9,0,1965,34,1,6.011749,0.1374684,0,0
TWN,Taiwan,,,,,,186,3.802,0.23,,,7.585199,,0.1968711,0.1,0,1965,34,1,,,0,
URY,Uruguay,0.2107607,0.1558442,0.12282,0.2808905,0.2296846,191,4.778,1,0.3397032,7.898411,8.622192,29.3,0.2067488,0.9,0,1965,34,1,8.419675,0.216047,0,0
USA,United States,0.183458,0.1624165,0.1343427,0.3043119,0.2154709,192,9.251,0.92,0.4668814,12.17717,9.594625,28.3,0.2082183,1,0,1965,34,1,3.599187,0.1095275,0,0
VEN,"Venezuela, RB",0.1567484,0.0881091,0.0443296,0.4639754,0.2468375,196,2.473,0.73,0.2926324,9.11537,9.203649,16.8,0.3365036,0.8,0,1965,34,1,9.070477,0.2747134,0,0
VNM,Vietnam,0.1708181,0.1178771,0.0764062,0.4345521,0.2003465,197,,,,10.55428,,19.4,,,0,1965,34,1,0.6004075,0.0169463,,
VNM_N,"Vietnam, North",,,,,,198,,0.33,,,,,,0.1,0,1965,34,1,0.6004075,0.0169463,,
VNM_S,"Vietnam, South",,,,,,199,,0.12,,,,,,0.35,0,1965,34,1,0.6004075,0.0169463,,
YEM_N,"Yemen, N.Arab",,,,,,204,,0.06,,,,,,0.5,0,1965,34,1,,,,
ZAF,South Africa,0.1659776,0.1048704,0.059393,0.417717,0.2520419,208,3.758,0.59,0.4746331,9.895052,8.682797,19.3,0.2093408,0.7,0,1965,34,1,7.952449,0.2411981,0,0
ZAR,"Congo, Dem. Rep.",0.1576274,0.0880411,0.0460523,0.4444382,0.2638411,209,0.715,0.38,0.3875858,9.773265,6.854628,17.7,0.1818182,0.05,0,1965,34,1,4.525216,0.1255161,0,0
ADO,Andorra,,,,,,1,,0.5,,,,,,,0,1970,35,1,,,,
AFG,Afghanistan,0.1617138,0.0949685,0.046305,0.4373428,0.2596698,2,0.773,0.5,,9.430038,,18.1,,0.15,0,1970,35,1,,,,
ARG,Argentina,0.1992404,0.1547515,0.1072994,0.2936856,0.2450232,6,5.876,0.1666667,0.320524,10.08422,9.13399,27.4,0.2530578,0.05,0,1970,35,1,3.07886,0.0749058,1,1
AUS,Australia,0.1824346,0.1611359,0.1225271,0.2884493,0.2454531,9,10.094,1,0.5442176,9.434044,9.603759,27.6,0.2852842,1,0,1970,35,1,6.520787,0.1795406,1,1
AUT,Austria,0.1825854,0.1662425,0.2009377,0.2435365,0.2066979,10,7.011,1,0.5173746,8.912743,9.321485,33.9,0.3125429,1,0,1970,35,1,13.00335,0.2898374,1,1
BDI,Burundi,0.1424915,0.092719,0.0534699,0.4453925,0.2659272,14,,0,0.2657666,8.164511,6.743066,17.4,0.0359855,0.15,0,1970,35,1,5.66762,0.1300251,1,1
BEL,Belgium,0.1952154,0.1707747,0.1895195,0.2359155,0.208575,15,8.398,1,0.4653485,9.173469,9.404516,34.5,0.302115,1,0,1970,35,1,,,1,1
BEN,Benin,0.1508876,0.085429,0.0591716,0.4615385,0.2429734,16,0.294,0,,7.902857,6.997882,17.1,0.0529213,0.4,0,1970,35,1,9.543499,0.261306,1,1
BFA,Burkina Faso,0.1424371,0.0871163,0.0516449,0.4640691,0.2547326,17,,0.6666667,0.1110584,8.636397,6.50586,16.8,0.0070793,0.3,0,1970,35,1,5.563018,0.1411116,1,1
BOL,Bolivia,0.1612444,0.0942769,0.0553313,0.4295892,0.2595583,25,3.72,0.3333333,0.3512867,8.345693,7.823202,18.4,0.2400651,0.25,0,1970,35,1,7.23854,0.153066,1,1
BRA,Brazil,0.1618536,0.0946577,0.0569967,0.42373,0.262762,26,2.92,0.3333333,0.2249611,11.47198,8.194207,18.6,0.2012171,0.05,0,1970,35,1,4.366943,0.1047685,1,1
BTN,Bhutan,0.1724788,0.1046183,0.0565504,0.4099906,0.2563619,29,,0.5,,6.012639,,19.6,,0.1,0,1970,35,1,,,,
CAF,Central African Republic,0.1692472,0.1105179,0.0656701,0.4063001,0.2482648,31,0.409,0,0.2858601,7.5224,7.714268,19.8,0.0835982,0.15,0,1970,35,1,5.089683,0.1525743,1,1
CAN,Canada,0.1769203,0.1491067,0.1141094,0.3010223,0.2588414,32,8.799,1,0.479002,9.967588,9.554069,25.9,0.2381049,1,0,1970,35,1,12.28817,0.3958662,1,1
CHE,Switzerland,0.1996444,0.1639185,0.1640802,0.2376334,0.2347236,33,8.28,1,,8.743053,9.933574,31.9,0.3195021,1,0,1970,35,1,15.69862,0.4022071,1,1
CHL,Chile,0.1635081,0.1077069,0.07749,0.3922931,0.2590019,34,5.48,1,0.1391019,9.158626,8.475132,20.4,0.197966,0.8,0,1970,35,1,10.05292,0.2552706,1,1
CHN,China,0.1675358,0.1130356,0.0683612,0.3973137,0.2537536,35,,0,,13.615,6.702918,19.7,0.27071,0.1,0,1970,35,1,4.668175,0.1229722,1,1
CIV,Cote d'Ivoire,0.1689605,0.0880116,0.0407461,0.4514669,0.2508149,36,,0.1666667,0.2617835,8.615227,7.779274,17.5,0.2922159,0.05,0,1970,35,1,13.3898,0.3776806,1,1
CMR,Cameroon,0.1666164,0.1028347,0.0572979,0.4212907,0.2519602,37,1.25,0.1666667,0.3259742,8.797398,7.365277,19.1,0.1757862,0.15,0,1970,35,1,8.968147,0.2703256,1,1
COG,"Congo, Rep.",0.1593656,0.0966767,0.0536254,0.4365559,0.2537764,38,,0,0.4432348,7.141245,6.83407,18.2,0.1083668,0.15,0,1970,35,1,19.1502,0.5934803,1,1
COL,Colombia,0.1373931,0.088818,0.0537163,0.4574303,0.2626424,39,2.734,0.8333333,0.2123069,10.02398,8.058127,16.9,0.1893736,0.85,0,1970,35,1,5.348301,0.150432,1,1
CRI,Costa Rica,0.139011,0.0928571,0.0681319,0.4478022,0.2521978,42,3.611,1,,7.459915,8.33831,17.4,0.1376657,1,0,1970,35,1,16.13903,0.4699992,1,1
CUB,Cuba,0.1669014,0.1196009,0.093662,0.3697183,0.2501174,43,,0,,9.050172,,22.3,,0.15,0,1970,35,1,2.310844,0.0480617,,
CYP,Cyprus,0.1726384,0.1319218,0.1384365,0.3110749,0.2459283,44,4.883,0.8333333,0.3881594,6.421622,8.570662,25.9,0.1649296,0.85,0,1970,35,1,19.5665,0.4826196,1,1
DEU,Germany,0.2081899,0.1625708,0.1987105,0.2321892,0.1983395,47,,,,11.26085,9.427697,34.3,0.2953998,,0,1970,35,1,9.909451,0.3126442,,
DEU_W,"Germany, West",,,,,,49,8.269,1,,,,,,1,0,1970,35,1,9.909451,0.3126442,,
DNK,Denmark,0.1756949,0.178941,0.1763035,0.2329073,0.2361534,52,8.781,1,0.6193676,8.502892,9.682693,32.5,0.2362703,1,0,1970,35,1,13.06474,0.365477,1,1
DOM,Dominican Republic,0.1467662,0.0777929,0.0463591,0.4735414,0.2555405,53,2.866,0.6666667,0.282246,8.394573,7.609761,16.3,0.1177461,0.35,0,1970,35,1,11.31346,0.3584843,1,1
DZA,Algeria,0.1391475,0.0813937,0.0627,0.4835612,0.2331976,54,0.822,0.1666667,0.4817547,9.528503,8.141255,15.8,0.2946058,0.05,0,1970,35,1,10.52309,0.3085911,1,
ECU,Ecuador,0.1491537,0.0901626,0.0628457,0.4437741,0.254064,55,3.157,0,0.2592714,8.694502,7.737057,17.6,0.1364973,0.5,0,1970,35,1,9.156522,0.2683114,1,1
EGY,"Egypt, Arab Rep.",0.1576068,0.1016608,0.0671693,0.4138136,0.2597495,56,,0.1666667,0.4564555,10.40587,7.585579,18.9,0.0938072,0.15,0,1970,35,1,8.3172,0.2258051,1,1
ESP,Spain,0.1987684,0.1615549,0.1421339,0.2794126,0.2181301,58,4.685,0.3333333,0.5146067,10.42759,9.11336,30.2,0.2745156,0.15,0,1970,35,1,6.996989,0.1748371,1,1
ETH_1,Ethiopia -pre 1993,0.1577038,0.0879228,0.0428599,0.4476804,0.2638331,61,,0.3333333,0.2344634,10.33423,6.409465,,0.1322201,0.05,0,1970,35,1,4.720396,0.1309167,,
FIN,Finland,0.1871472,0.1660877,0.1417716,0.2459835,0.25901,63,6.503,0.8333333,0.4609727,8.435115,9.3424,29.6,0.299565,1,0,1970,35,1,9.799273,0.2834448,1,1
FRA,France,0.1923387,0.1551157,0.1805613,0.2482521,0.2237322,65,5.86,1,,10.8351,9.420286,32.3,0.2754886,0.9,0,1970,35,1,8.348085,0.2025126,1,1
GAB,Gabon,0.1867924,0.145283,0.109434,0.3283019,0.2301887,66,,0.1666667,,6.222576,8.833056,25.7,0.4368715,0.05,0,1970,35,1,17.54988,0.5367035,1,1
GBR,United Kingdom,0.1751167,0.1820835,0.1865699,0.2424861,0.2137438,67,7.655,1,0.4777301,10.92651,9.399695,33.7,0.2128152,1,0,1970,35,1,10.14634,0.2840603,1,1
GHA,Ghana,0.1528116,0.0847536,0.0438261,0.4564638,0.2621449,70,2.027,0.1666667,0.2035556,9.060912,7.156179,17.1,0.1278272,0.65,0,1970,35,1,5.446445,0.1466332,1,1
GIN,Guinea,0.1562741,0.0913523,0.0443931,0.4498332,0.2581473,71,,0,,8.268732,7.732884,17.4,0.1580642,0.05,0,1970,35,1,8.174603,0.2279535,1,
GMB,"Gambia, The",0.1833689,0.1002132,0.0469083,0.4200426,0.249467,72,,0.8333333,,6.139884,7.01445,19.6,0.0410368,0.9,0,1970,35,1,19.79067,0.5118563,,
GRC,Greece,0.2187464,0.1653964,0.1627801,0.2486634,0.2044136,75,5.185,0.1666667,0.3192836,9.081711,9.040845,33.4,0.2357808,0.15,0,1970,35,1,8.894895,0.209821,1,1
GTM,Guatemala,0.1550639,0.082777,0.0436773,0.4585161,0.2599657,77,1.49,0.8333333,0.2562994,8.56465,8.003448,16.9,0.136187,0.55,0,1970,35,1,7.778138,0.228415,1,1
HND,Honduras,0.1473197,0.077902,0.0404936,0.4816814,0.2526032,79,1.7,0,0.3767997,7.860185,7.528791,15.9,0.146888,0.45,0,1970,35,1,12.70504,0.3974718,1,1
HTI,Haiti,0.1575221,0.1068584,0.0723451,0.4095133,0.2537611,81,0.897,0,,8.416267,6.834893,19.5,0.0749417,0.05,0,1970,35,1,12.3174,0.4100479,,
IDN,Indonesia,0.1781128,0.0973941,0.0522013,0.4211105,0.2511813,83,2.285,0.3333333,0.2261451,11.67451,6.991541,19,0.1429382,0.15,0,1970,35,1,10.27011,0.2802945,1,1
IND,India,0.1745406,0.1085411,0.0598723,0.4043203,0.2527257,84,1.899,0.8333333,0.4549198,13.21324,6.978369,19.9,0.1599572,0.95,0,1970,35,1,2.572107,0.0617212,1,1
IRL,Ireland,0.1540284,0.1607989,0.1567366,0.3117806,0.2166554,85,6.517,1,0.4584633,7.989561,8.8901,27.6,0.1232643,1,0,1970,35,1,23.88656,0.7484681,1,1
IRN,Iran,0.1448108,0.0927109,0.0576189,0.4456439,0.2592156,86,1.005,0.3333333,0.2423798,10.25517,8.561217,17.6,0.2704327,0,0,1970,35,1,3.89317,0.0955327,1,1
IRQ,Iraq,0.1495137,0.0801539,0.0401838,0.4660682,0.2640804,87,0.76,0,0.4204678,9.143773,,16.6,,0.15,0,1970,35,1,,,,
ISL,Iceland,0.1625616,0.1330049,0.1231527,0.3300492,0.2512315,88,6.222,1,0.6050245,5.31812,9.298835,24.6,0.2737382,1,0,1970,35,1,13.11962,0.3909551,1,1
ISR,Israel,0.1594753,0.1415257,0.1063169,0.3313773,0.2613048,89,7.652,0.8333333,0.346615,7.997663,9.086753,23.4,0.0388768,0.95,0,1970,35,1,12.14624,0.3611746,1,1
ITA,Italy,0.209171,0.1703764,0.1612723,0.2457174,0.2134629,90,5.215,1,0.3792127,10.89344,9.332002,32.8,0.2692119,1,0,1970,35,1,8.778229,0.2096998,1,1
JAM,Jamaica,0.1300161,0.106474,0.0845372,0.4697699,0.2092028,91,2.962,1,0.4396847,7.533159,8.260118,16.7,0.273535,1,0,1970,35,1,18.02691,0.6011733,1,1
JOR,Jordan,0.1528035,0.0757856,0.047443,0.4584104,0.2655576,92,2.292,0.1666667,0.2348094,7.31854,7.708977,17.1,-0.1657476,0.05,0,1970,35,1,20.57263,0.3924133,1,1
JPN,Japan,0.2303246,0.1453834,0.1064976,0.2403121,0.2774822,93,6.885,0.8333333,0.3440537,11.55546,9.347801,29,0.4086612,1,0,1970,35,1,5.133902,0.1201029,1,1
KEN,Kenya,0.1387985,0.0819773,0.0524233,0.4885214,0.2382795,95,1.448,0.3333333,0.4451096,9.349929,6.710691,15.6,0.2355848,0.15,0,1970,35,1,10.40437,0.2440223,1,1
KHM,Cambodia,0.1640006,0.0932411,0.0462603,0.432339,0.2641591,97,,0.1666667,,8.844769,,18.3,,,0,1970,35,1,,,,
KOE,Korea,0.1801382,0.1003454,0.054728,0.411032,0.2537565,100,,,,10.74333,,,,,0,1970,35,1,,,,
KOR,"Korea, Rep.",0.1749154,0.1004573,0.0540659,0.420718,0.2498434,101,4.758,0.3333333,0.2287131,10.37108,7.906761,19,0.1612342,0.65,0,1970,35,1,15.32419,0.4310999,1,1
KWT,Kuwait,0.190604,0.0630872,0.0255034,0.4348993,0.285906,102,2.878,0.5,0.2152253,6.612041,,18.9,,0.05,0,1970,35,1,,,,
LAO,Lao PDR,0.1684482,0.0969407,0.0442315,0.4235164,0.2668633,103,,0.3333333,,7.90581,,18.7,,,0,1970,35,1,,,,
LBN,Lebanon,0.1604538,0.0968395,0.0741491,0.439222,0.2293355,104,,0.8333333,,7.869837,,18.1,,0.75,0,1970,35,1,,,,
LBR,Liberia,0.1521269,0.0894016,0.0454218,0.4534968,0.259553,105,0.755,0.1666667,,7.233455,,17.2,,0.2,0,1970,35,1,,,,
LBY,Libya,0.159537,0.0850528,0.0442879,0.4494212,0.261701,106,,0,,7.593878,,17.5,,0.15,0,1970,35,1,,,,
LIE,Liechtenstein,,,,,,108,,0.5,,,,,,,0,1970,35,1,,,,
LKA,Sri Lanka,0.164769,0.1043429,0.0596129,0.3993168,0.2719584,109,4.131,0.8333333,,9.417842,7.3508,19.7,0.1580064,0.9,0,1970,35,1,14.91477,0.3366421,1,1
LUX,Luxembourg,0.2123894,0.1769911,0.1828909,0.2212389,0.2064897,112,,0.8333333,0.4720935,5.828357,9.623864,35.3,0.3281091,,0,1970,35,1,,,1,1
MAR,Morocco,0.152766,0.0815753,0.0621122,0.4756058,0.2279407,114,,0.3333333,,9.636262,7.723347,16.3,0.1541381,0.05,0,1970,35,1,10.38558,0.2603219,1,1
MDG,Madagascar,0.1562635,0.0915381,0.0482918,0.4494738,0.2544327,116,,0.3333333,0.4217092,8.833463,7.149919,17.4,0.0749193,0.45,0,1970,35,1,5.805569,0.165016,1,1
MDV,Maldives,0.1570248,0.107438,0.0743802,0.4132231,0.2479339,117,,0.6666667,,4.795791,,18.8,,,0,1970,35,1,,,,
MEX,Mexico,0.1411744,0.0789375,0.0612685,0.4648497,0.25377,118,3.307,0.3333333,,10.83163,8.616492,16.7,0.1989095,0.2,0,1970,35,1,6.346499,0.2009351,1,1
MLI,Mali,0.1546006,0.0814907,0.0349501,0.4595221,0.2694365,120,0.189,0,0.4646975,8.582045,6.66431,16.9,0.0954537,0.15,0,1970,35,1,7.461085,0.1723304,1,1
MLT,Malta,0.1770492,0.1409836,0.1344262,0.2721311,0.2754098,121,5.336,1,0.4884478,5.786897,,26.3,,,0,1970,35,1,,,,
MMR,Myanmar,0.1560894,0.1110615,0.0636499,0.4086778,0.2605214,122,1.009,0,,10.1981,,19.4,,0.15,0,1970,35,1,,,,
MNG,Mongolia,0.1596169,0.0909816,0.047087,0.4373504,0.2649641,123,,0,,7.135687,,18.1,,0.15,0,1970,35,1,,,,
MRT,Mauritania,0.1686461,0.0950119,0.0451306,0.432304,0.2589074,126,,0.1666667,,7.107426,7.53964,18.6,0.2774168,0.15,0,1970,35,1,17.50379,0.4613142,1,1
MWI,Malawi,0.1520248,0.082983,0.0369551,0.4664749,0.2615623,128,1.6,0,0.4067464,8.415825,6.120677,16.7,0.1082197,0.05,0,1970,35,1,11.88671,0.3538674,1,
MYS,Malaysia,0.1510182,0.0899291,0.0554685,0.4459596,0.2576246,129,3.054,0.8333333,0.2646545,9.292197,7.966764,17.5,0.2661014,0.55,0,1970,35,1,25.50284,0.6295347,1,1
NER,Niger,0.1429606,0.0823473,0.0400869,0.4798358,0.2547694,131,0.157,0.1666667,,8.331827,7.325603,15.9,0.0251466,0.15,0,1970,35,1,8.659275,0.2471318,1,1
NGA,Nigeria,0.1561725,0.0912899,0.0491465,0.4480502,0.2553409,132,,0.1666667,,10.8821,7.015095,17.5,0.1201473,0.15,0,1970,35,1,9.127062,0.2668072,1,1
NIC,Nicaragua,0.1407059,0.0767059,0.04,0.4842353,0.2583529,133,2.59,0.5,0.1577746,7.660585,8.28903,15.7,0.1613473,0.1,0,1970,35,1,12.13333,0.3256532,1,1
NLD,Netherlands,0.1796288,0.1557754,0.1453444,0.2728179,0.2464335,134,7.585,1,0.5090438,9.4757,9.496997,28.6,0.2657081,1,0,1970,35,1,21.31429,0.5162404,1,1
NOR,Norway,0.1612071,0.1882899,0.1813258,0.2447769,0.2244003,135,7.356,1,0.5472006,8.262817,9.322586,33,0.3215876,1,0,1970,35,1,13.10676,0.3887317,1,1
NPL,Nepal,0.1695307,0.1034369,0.0569233,0.4077991,0.26231,136,0.042,0.1666667,,9.382611,6.704073,19.7,0.0249269,0.05,0,1970,35,1,4.339303,0.1126878,1,1
NZL,New Zealand,0.1673166,0.1510103,0.1247784,0.3176179,0.2392769,137,9.359,1,0.6435165,7.944492,9.52262,25.6,0.2208194,1,0,1970,35,1,11.25031,0.334711,1,1
OMN,Oman,0.1325301,0.0789826,0.0455154,0.4779117,0.2650602,139,,0,,6.583409,,16,,0,0,1970,35,1,,,,
PAK_1,Pakistan-pre-1972,0.1610136,0.0973449,0.0570505,0.4349109,0.24968,141,1.679,,0.2364603,11.75262,6.848849,,0.0889184,,0,1970,35,1,7.585885,0.1737039,,
PAN,Panama,0.1461794,0.0943522,0.0637874,0.4392027,0.2564784,142,4.56,0,0.3007393,7.317213,8.249015,18,0.2831328,0.15,0,1970,35,1,25.59059,0.7217363,1,1
PER,Peru,0.1572165,0.0908126,0.0554882,0.4400394,0.2564433,144,3.89,0,0.1844165,9.487442,8.452364,17.9,0.1739286,0.15,0,1970,35,1,5.821706,0.1647712,1,1
PHL,Philippines,0.1451397,0.0849772,0.0483981,0.4532844,0.2682006,145,4.806,0.5,0.1670126,10.50652,7.781599,17.1,0.2187571,0.6,0,1970,35,1,10.61959,0.2881482,1,1
PRK,"Korea, Dem. Rep.",0.1917199,0.1000972,0.0561962,0.3895527,0.262434,149,,0,,9.574775,,22.1,,0.05,0,1970,35,1,,,,
PRT,Portugal,0.1870752,0.1577007,0.1366202,0.2875245,0.2310794,150,2.44,0.3333333,0.4403411,9.109879,8.747725,28.6,0.2284722,0.05,0,1970,35,1,13.03066,0.3439526,1,1
PRY,Paraguay,0.1309524,0.0863095,0.0790816,0.4460034,0.2576531,151,3.738,0.5,,7.762171,7.963511,17.3,0.1352361,0.1,0,1970,35,1,6.187973,0.1271097,1,1
RWA,Rwanda,0.145883,0.0778396,0.0378607,0.4823934,0.2560233,155,0.762,0,0.3073437,8.223627,6.787419,15.9,0.0331969,0.25,0,1970,35,1,4.796121,0.1142846,1,1
SAU,Saudi Arabia,0.1565111,0.0887883,0.0510097,0.4449861,0.2587047,157,,0.1666667,,8.656085,,17.8,,0,0,1970,35,1,,,,
SDN,Sudan,0.1596406,0.0890809,0.0453352,0.4416724,0.2642709,159,0.367,0.1666667,,9.576926,,17.9,,,0,1970,35,1,,,,
SEN,Senegal,0.1587683,0.0921338,0.0471494,0.4459947,0.2559538,160,1.236,0.1666667,0.2967543,8.332789,7.394487,17.6,0.0966942,0.15,0,1970,35,1,11.87573,0.3094727,,
SGP,Singapore,0.1685935,0.1050096,0.0573218,0.3877649,0.2813102,162,3.737,0.3333333,0.3170903,7.637716,8.571418,19.7,0.1835346,0.4,0,1970,35,1,77.26769,1.90602,1,1
SLE,Sierra Leone,0.1693639,0.1042529,0.0530674,0.4177644,0.2555514,165,0.52,0.5,,7.884576,7.310796,19.2,0.0347015,0.55,0,1970,35,1,6.202819,0.1682339,1,
